x,y,Date
173.51487,-42.14168,2-01-2010 6:38
173.51516,-42.14165,2-01-2010 9:38
173.51288,-42.14557,3-01-2010 2:37
173.51478,-42.14201,3-01-2010 4:37
173.51508,-42.14158,3-01-2010 6:37
173.5153,-42.14153,3-01-2010 9:36
173.51307,-42.14587,4-01-2010 2:38
173.51513,-42.14158,4-01-2010 6:37
173.51526,-42.14157,4-01-2010 9:36
173.51396,-42.14428,5-01-2010 2:38
173.51513,-42.14152,5-01-2010 4:39
173.51523,-42.14165,5-01-2010 6:37
173.51399,-42.14089,6-01-2010 2:38
173.51511,-42.14066,6-01-2010 4:37
173.51505,-42.14155,6-01-2010 6:37
173.51514,-42.14158,6-01-2010 9:37
173.51412,-42.14193,7-01-2010 2:37
173.51325,-42.14431,7-01-2010 4:38
173.51507,-42.14157,7-01-2010 6:37
173.51523,-42.14153,7-01-2010 9:37
173.51368,-42.14422,8-01-2010 2:37
173.5146,-42.14219,8-01-2010 4:37
173.51531,-42.14167,8-01-2010 6:37
173.51508,-42.14162,8-01-2010 9:37
173.51382,-42.14563,9-01-2010 2:38
173.51483,-42.14299,9-01-2010 4:37
173.51514,-42.14162,9-01-2010 6:37
173.51506,-42.14165,9-01-2010 9:38
173.51464,-42.14491,10-01-2010 2:37
173.51375,-42.14429,10-01-2010 4:37
173.51358,-42.14422,10-01-2010 6:37
173.5133,-42.1441,10-01-2010 9:37
173.51409,-42.14519,16-01-2010 2:37
173.51414,-42.14498,16-01-2010 4:37
173.51177,-42.14253,16-01-2010 6:37
173.51428,-42.14188,16-01-2010 9:37
173.51295,-42.1429,17-01-2010 2:37
173.51498,-42.14161,17-01-2010 4:37
173.51523,-42.14193,17-01-2010 6:38
173.51536,-42.14601,18-01-2010 2:38
173.51518,-42.14565,18-01-2010 4:37
173.51602,-42.14226,18-01-2010 6:37
173.53054,-42.1293,21-09-2009 22:06
173.53043,-42.13001,22-09-2009 0:06
173.52995,-42.12939,22-09-2009 2:06
173.53004,-42.12929,22-09-2009 5:06
173.53023,-42.13177,25-09-2009 22:06
173.53054,-42.13056,26-09-2009 0:06
173.53122,-42.13076,26-09-2009 2:06
173.53295,-42.12963,26-09-2009 22:06
173.53082,-42.12979,27-09-2009 0:06
173.53033,-42.12945,27-09-2009 3:06
173.52933,-42.13002,27-09-2009 23:06
173.53137,-42.12924,28-09-2009 1:06
173.53033,-42.12938,28-09-2009 3:06
173.53014,-42.12941,29-09-2009 23:06
173.53011,-42.12933,30-09-2009 1:06
173.53003,-42.12937,30-09-2009 3:07
173.53027,-42.1316,30-09-2009 23:06
173.53083,-42.13107,1-10-2009 1:06
173.53141,-42.13082,1-10-2009 3:07
173.53141,-42.12965,1-10-2009 23:06
173.53023,-42.12938,2-10-2009 1:06
173.52973,-42.12945,2-10-2009 3:06
173.53078,-42.13114,2-10-2009 6:06
173.53083,-42.13116,2-10-2009 23:07
173.52933,-42.12967,3-10-2009 1:06
173.53009,-42.12932,3-10-2009 3:06
173.53027,-42.12972,3-10-2009 6:07
173.53081,-42.13123,3-10-2009 23:06
173.52923,-42.12962,4-10-2009 1:06
173.53025,-42.1293,4-10-2009 3:06
173.53045,-42.12998,4-10-2009 6:08
173.53013,-42.12972,4-10-2009 23:06
173.53088,-42.13116,5-10-2009 1:06
173.52999,-42.12949,5-10-2009 3:07
173.5299,-42.12953,5-10-2009 6:08
173.53157,-42.13033,10-10-2009 23:07
173.53138,-42.13013,11-10-2009 1:07
173.53105,-42.13026,11-10-2009 3:06
173.5304,-42.13164,11-10-2009 23:07
173.53198,-42.12974,12-10-2009 1:06
173.5311,-42.12981,12-10-2009 3:07
173.52938,-42.13075,12-10-2009 6:08
173.53308,-42.13018,12-10-2009 23:07
173.53141,-42.13015,13-10-2009 1:07
173.53107,-42.13023,13-10-2009 3:06
173.53042,-42.131,23-10-2009 23:07
173.53152,-42.1301,24-10-2009 1:07
173.53127,-42.13036,24-10-2009 3:07
173.52955,-42.12918,24-10-2009 23:07
173.53283,-42.12956,25-10-2009 1:07
173.53255,-42.13038,25-10-2009 3:07
173.52972,-42.13122,25-10-2009 23:07
173.53025,-42.1293,26-10-2009 1:07
173.53021,-42.12945,26-10-2009 3:07
173.53246,-42.1311,29-10-2009 23:07
173.53175,-42.13133,30-10-2009 1:08
173.53023,-42.13141,30-10-2009 3:07
173.52985,-42.12978,30-10-2009 23:07
173.52838,-42.12986,31-10-2009 1:08
173.53027,-42.12983,31-10-2009 3:07
173.53023,-42.12942,31-10-2009 23:07
173.53042,-42.12965,1-11-2009 1:07
173.53138,-42.13018,1-11-2009 3:07
173.53228,-42.1301,1-11-2009 6:09
173.53182,-42.13123,1-11-2009 23:07
173.53143,-42.12983,2-11-2009 1:07
173.52986,-42.13028,2-11-2009 3:07
173.52943,-42.12936,2-11-2009 23:07
173.52953,-42.12971,3-11-2009 1:07
173.53101,-42.12943,3-11-2009 3:07
173.53103,-42.13085,3-11-2009 6:08
173.53018,-42.1314,3-11-2009 23:08
173.53011,-42.13107,4-11-2009 1:07
173.53024,-42.12996,4-11-2009 3:08
173.53038,-42.13007,4-11-2009 6:08
173.53283,-42.12882,4-11-2009 23:08
173.53259,-42.1312,5-11-2009 1:08
173.53134,-42.13024,5-11-2009 3:08
173.53084,-42.13117,5-11-2009 23:08
173.53158,-42.13073,6-11-2009 1:07
173.53133,-42.13043,6-11-2009 3:08
173.53012,-42.12945,6-11-2009 23:08
173.53007,-42.12983,7-11-2009 1:07
173.53005,-42.12988,7-11-2009 3:08
173.53074,-42.12961,7-11-2009 6:08
173.5327,-42.13081,7-11-2009 23:08
173.53235,-42.13035,8-11-2009 1:07
173.53148,-42.12998,8-11-2009 3:08
173.53135,-42.12981,8-11-2009 23:08
173.531,-42.12992,9-11-2009 1:08
173.53154,-42.13012,9-11-2009 3:08
173.53068,-42.13138,9-11-2009 23:09
173.52986,-42.12981,10-11-2009 1:07
173.53019,-42.12993,10-11-2009 3:09
173.53024,-42.12943,10-11-2009 23:08
173.5314,-42.13008,11-11-2009 1:07
173.53133,-42.13033,11-11-2009 3:08
173.52997,-42.13141,11-11-2009 23:08
173.53158,-42.13053,12-11-2009 1:08
173.53075,-42.12983,12-11-2009 3:08
173.52828,-42.12873,12-11-2009 23:08
173.53264,-42.12943,13-11-2009 1:08
173.53136,-42.13018,13-11-2009 3:08
173.53186,-42.13119,14-11-2009 23:08
173.53224,-42.13032,15-11-2009 1:08
173.53144,-42.1299,15-11-2009 3:08
173.53128,-42.13027,16-11-2009 1:08
173.53139,-42.13019,16-11-2009 3:08
173.53007,-42.13028,16-11-2009 6:08
173.53272,-42.1299,16-11-2009 23:08
173.53163,-42.12984,17-11-2009 1:08
173.53125,-42.1301,17-11-2009 3:08
173.52846,-42.12926,17-11-2009 23:08
173.52991,-42.12933,18-11-2009 1:08
173.53027,-42.12924,18-11-2009 3:08
173.53268,-42.1305,18-11-2009 23:08
173.53162,-42.12993,19-11-2009 1:08
173.53138,-42.13053,19-11-2009 3:08
173.53025,-42.13075,19-11-2009 23:10
173.52852,-42.12882,20-11-2009 1:08
173.52881,-42.13046,20-11-2009 3:09
173.52994,-42.12938,20-11-2009 6:08
173.53305,-42.13078,21-11-2009 23:08
173.53269,-42.1302,22-11-2009 1:08
173.53123,-42.13037,22-11-2009 3:08
173.53038,-42.12935,22-11-2009 6:11
173.53145,-42.13038,22-11-2009 23:09
173.53169,-42.13077,23-11-2009 1:08
173.53124,-42.13071,23-11-2009 3:08
173.53103,-42.13083,23-11-2009 23:08
173.53128,-42.12943,24-11-2009 1:08
173.53139,-42.12993,24-11-2009 3:08
173.53096,-42.12958,25-11-2009 23:10
173.53273,-42.1301,26-11-2009 1:08
173.53157,-42.13006,26-11-2009 3:09
173.53065,-42.12886,26-11-2009 6:09
173.52965,-42.12782,26-11-2009 23:09
173.53033,-42.12933,27-11-2009 3:08
173.53043,-42.13027,27-11-2009 6:10
173.53169,-42.13123,27-11-2009 23:09
173.53159,-42.12993,28-11-2009 1:08
173.53149,-42.13003,28-11-2009 3:08
173.52821,-42.12851,1-12-2009 23:09
173.52949,-42.12794,2-12-2009 1:08
173.53013,-42.12943,2-12-2009 3:09
173.53131,-42.12974,2-12-2009 23:09
173.53207,-42.12944,3-12-2009 1:08
173.53133,-42.13018,3-12-2009 3:09
173.53166,-42.13073,3-12-2009 23:09
173.53183,-42.13139,4-12-2009 1:09
173.53151,-42.13028,4-12-2009 3:09
173.53182,-42.1296,4-12-2009 23:09
173.53197,-42.1316,5-12-2009 1:09
173.53168,-42.13115,5-12-2009 3:09
173.53194,-42.13166,5-12-2009 23:09
173.53181,-42.13082,6-12-2009 1:09
173.53158,-42.13013,6-12-2009 3:09
173.52855,-42.1285,6-12-2009 23:09
173.53207,-42.12911,7-12-2009 1:09
173.53165,-42.13021,7-12-2009 3:09
173.53178,-42.13155,7-12-2009 23:09
173.53195,-42.13168,8-12-2009 1:09
173.53175,-42.13079,8-12-2009 3:08
173.52868,-42.12826,8-12-2009 23:09
173.52918,-42.12819,9-12-2009 1:09
173.53278,-42.12898,9-12-2009 3:09
173.53336,-42.13012,9-12-2009 23:09
173.53136,-42.12995,10-12-2009 1:09
173.53138,-42.13035,10-12-2009 3:09
173.53017,-42.12973,10-12-2009 6:10
173.52919,-42.12811,10-12-2009 23:09
173.52811,-42.12855,11-12-2009 1:09
173.52996,-42.13085,11-12-2009 3:09
173.53023,-42.1307,11-12-2009 6:10
173.53188,-42.1316,11-12-2009 23:09
173.53152,-42.13,12-12-2009 1:10
173.53151,-42.13011,12-12-2009 3:09
